id,date,calories
8378563200,5/6/2016,3644
8583815059,5/6/2016,2683
8792009665,5/6/2016,1688
8877689391,5/6/2016,4015
1503960366,5/7/2016,1821
1624580081,5/7/2016,1474
1644430081,5/7/2016,3404
1844505072,5/7/2016,1347
1927972279,5/7/2016,2229
2022484408,5/7/2016,1995
2026352035,5/7/2016,1491
2320127002,5/7/2016,1972
2873212765,5/7/2016,1897
3977333714,5/7/2016,1574
4020332650,5/7/2016,2975
4319703577,5/7/2016,2158
4388161847,5/7/2016,4022
4445114986,5/7/2016,2123
4558609924,5/7/2016,1973
4702921684,5/7/2016,3683
5553957443,5/7/2016,1494
5577150313,5/7/2016,1819
6117666160,5/7/2016,2469
6290855005,5/7/2016,2613
6775888955,5/7/2016,1032
6962181067,5/7/2016,1947
7007744171,5/7/2016,120
7086361926,5/7/2016,2739
8053475328,5/7/2016,3331
8378563200,5/7/2016,2799
8583815059,5/7/2016,2810
8792009665,5/7/2016,1688
8877689391,5/7/2016,4142
1503960366,5/8/2016,1740
1624580081,5/8/2016,1427
1644430081,5/8/2016,2987
1844505072,5/8/2016,1347
1927972279,5/8/2016,2063
2022484408,5/8/2016,1848
2026352035,5/8/2016,1555
2320127002,5/8/2016,1821
2873212765,5/8/2016,2096
3977333714,5/8/2016,1633
4020332650,5/8/2016,3089
4319703577,5/8/2016,1792
4388161847,5/8/2016,3934
4445114986,5/8/2016,2423
4558609924,5/8/2016,2666
4702921684,5/8/2016,3287
5553957443,5/8/2016,1762
5577150313,5/8/2016,1819
6117666160,5/8/2016,2250
6290855005,5/8/2016,2712
6962181067,5/8/2016,1659
7086361926,5/8/2016,2534
8053475328,5/8/2016,3589
8378563200,5/8/2016,2685
8583815059,5/8/2016,2940
8792009665,5/8/2016,1688
8877689391,5/8/2016,2847
1503960366,5/9/2016,1819
1624580081,5/9/2016,1328
1644430081,5/9/2016,3008
1844505072,5/9/2016,1347
1927972279,5/9/2016,2063
2022484408,5/9/2016,2709
2026352035,5/9/2016,1869
2320127002,5/9/2016,1630
2873212765,5/9/2016,1906
3977333714,5/9/2016,1667
4020332650,5/9/2016,2785
4319703577,5/9/2016,2345
4388161847,5/9/2016,3013
4445114986,5/9/2016,2281
4558609924,5/9/2016,2223
4702921684,5/9/2016,2990
5553957443,5/9/2016,2272
5577150313,5/9/2016,2489
6117666160,5/9/2016,1248
6290855005,5/9/2016,2175
6962181067,5/9/2016,2105
7086361926,5/9/2016,2960
8053475328,5/9/2016,2765
8378563200,5/9/2016,3721
8583815059,5/9/2016,2947
8792009665,5/9/2016,1688
8877689391,5/9/2016,3710
1503960366,5/10/2016,1859
1624580081,5/10/2016,1393
1644430081,5/10/2016,2799
1844505072,5/10/2016,1347
1927972279,5/10/2016,2063
2022484408,5/10/2016,2797
2026352035,5/10/2016,1141
