id,date,step_total
1844505072,4/26/2016,0
1927972279,4/26/2016,3761
2022484408,4/26/2016,10119
2026352035,4/26/2016,5933
2320127002,4/26/2016,3409
2347167796,4/26/2016,5980
2873212765,4/26/2016,8242
3372868164,4/26/2016,8283
3977333714,4/26/2016,11388
4020332650,4/26/2016,0
4319703577,4/26/2016,9899
4388161847,4/26/2016,9461
4445114986,4/26/2016,6326
4558609924,4/26/2016,9148
4702921684,4/26/2016,6108
5553957443,4/26/2016,11886
5577150313,4/26/2016,5325
6117666160,4/26/2016,9543
6290855005,4/26/2016,0
6775888955,4/26/2016,7091
6962181067,4/26/2016,10433
7007744171,4/26/2016,15090
7086361926,4/26/2016,10387
8053475328,4/26/2016,12685
8253242879,4/26/2016,4562
8378563200,4/26/2016,16208
8583815059,4/26/2016,10499
8792009665,4/26/2016,1321
8877689391,4/26/2016,11101
1503960366,4/27/2016,18134
1624580081,4/27/2016,8367
1644430081,4/27/2016,3032
1844505072,4/27/2016,4
1927972279,4/27/2016,0
2022484408,4/27/2016,10159
2026352035,4/27/2016,6088
2320127002,4/27/2016,1715
2347167796,4/27/2016,11423
2873212765,4/27/2016,3516
3372868164,4/27/2016,7904
3977333714,4/27/2016,7193
4020332650,4/27/2016,0
4319703577,4/27/2016,10780
4388161847,4/27/2016,11193
4445114986,4/27/2016,7243
4558609924,4/27/2016,9557
4702921684,4/27/2016,7047
5553957443,4/27/2016,10538
5577150313,4/27/2016,6805
6117666160,4/27/2016,9411
6290855005,4/27/2016,5565
6775888955,4/27/2016,0
6962181067,4/27/2016,10320
7007744171,4/27/2016,13541
7086361926,4/27/2016,11107
8053475328,4/27/2016,12422
8253242879,4/27/2016,10232
8378563200,4/27/2016,7359
8583815059,4/27/2016,12474
8792009665,4/27/2016,1758
8877689391,4/27/2016,23629
1503960366,4/28/2016,13154
1624580081,4/28/2016,2759
1644430081,4/28/2016,9405
1844505072,4/28/2016,6907
1927972279,4/28/2016,1675
2022484408,4/28/2016,10140
2026352035,4/28/2016,6375
2320127002,4/28/2016,1532
2347167796,4/28/2016,5439
2873212765,4/28/2016,7913
3372868164,4/28/2016,5512
3977333714,4/28/2016,7114
4020332650,4/28/2016,0
4319703577,4/28/2016,10817
4388161847,4/28/2016,10074
4445114986,4/28/2016,4493
4558609924,4/28/2016,9451
4702921684,4/28/2016,9023
5553957443,4/28/2016,11393
5577150313,4/28/2016,9841
6117666160,4/28/2016,3403
6290855005,4/28/2016,5731
6775888955,4/28/2016,703
6962181067,4/28/2016,12627
7007744171,4/28/2016,15128
7086361926,4/28/2016,11584
8053475328,4/28/2016,15447
8253242879,4/28/2016,2718
8378563200,4/28/2016,5417
8583815059,4/28/2016,6174
8792009665,4/28/2016,6157
8877689391,4/28/2016,14890
1503960366,4/29/2016,11181
1624580081,4/29/2016,2390
1644430081,4/29/2016,3176
1844505072,4/29/2016,4920
1927972279,4/29/2016,0
2022484408,4/29/2016,10245
2026352035,4/29/2016,7604
2320127002,4/29/2016,924
2347167796,4/29/2016,42
2873212765,4/29/2016,7365
3372868164,4/29/2016,9135
3977333714,4/29/2016,10645
4020332650,4/29/2016,0
4319703577,4/29/2016,7990
4388161847,4/29/2016,9232
4445114986,4/29/2016,4676
4558609924,4/29/2016,7833
4702921684,4/29/2016,9930
5553957443,4/29/2016,12764
5577150313,4/29/2016,7924
6117666160,4/29/2016,9592
6290855005,4/29/2016,0
6775888955,4/29/2016,0
6962181067,4/29/2016,10762
7007744171,4/29/2016,20067
7086361926,4/29/2016,7881
8053475328,4/29/2016,12315
8253242879,4/29/2016,6260
8378563200,4/29/2016,6175
8583815059,4/29/2016,15168
8792009665,4/29/2016,8360
8877689391,4/29/2016,9733
1503960366,4/30/2016,14673
1624580081,4/30/2016,6474
1644430081,4/30/2016,18213
1844505072,4/30/2016,4014
1927972279,4/30/2016,0
2022484408,4/30/2016,18387
2026352035,4/30/2016,4729
2320127002,4/30/2016,4571
2873212765,4/30/2016,8452
3372868164,4/30/2016,5250
3977333714,4/30/2016,13238
4020332650,4/30/2016,0
4319703577,4/30/2016,8221
4388161847,4/30/2016,12533
4445114986,4/30/2016,6222
4558609924,4/30/2016,10319
4702921684,4/30/2016,10144
5553957443,4/30/2016,1202
5577150313,4/30/2016,12363
6117666160,4/30/2016,6987
6290855005,4/30/2016,6744
6775888955,4/30/2016,2503
6962181067,4/30/2016,10081
7007744171,4/30/2016,3761
7086361926,4/30/2016,14560
8053475328,4/30/2016,7135
8253242879,4/30/2016,0
8378563200,4/30/2016,2946
8583815059,4/30/2016,10085
8792009665,4/30/2016,7174
8877689391,4/30/2016,27745
1503960366,5/1/2016,10602
1624580081,5/1/2016,36019
1644430081,5/1/2016,6132
1844505072,5/1/2016,2573
1927972279,5/1/2016,2704
2022484408,5/1/2016,10538
2026352035,5/1/2016,3609
2320127002,5/1/2016,772
2873212765,5/1/2016,7399
3372868164,5/1/2016,3077
3977333714,5/1/2016,10414
4020332650,5/1/2016,0
4319703577,5/1/2016,1251
4388161847,5/1/2016,10255
4445114986,5/1/2016,5232
4558609924,5/1/2016,3428
4702921684,5/1/2016,0
5553957443,5/1/2016,5164
5577150313,5/1/2016,13368
6117666160,5/1/2016,8915
6290855005,5/1/2016,9837
6775888955,5/1/2016,2487
6962181067,5/1/2016,5454
7007744171,5/1/2016,5600
7086361926,5/1/2016,12390
8053475328,5/1/2016,1170
8378563200,5/1/2016,11419
8583815059,5/1/2016,4512
8792009665,5/1/2016,1619
8877689391,5/1/2016,10930
1503960366,5/2/2016,14727
1624580081,5/2/2016,7155
1644430081,5/2/2016,3758
1844505072,5/2/2016,0
1927972279,5/2/2016,3790
2022484408,5/2/2016,10379
2026352035,5/2/2016,7018
2320127002,5/2/2016,3634
2873212765,5/2/2016,7525
3977333714,5/2/2016,16520
4020332650,5/2/2016,475
4319703577,5/2/2016,9261
4388161847,5/2/2016,10096
4445114986,5/2/2016,6910
4558609924,5/2/2016,7891
4702921684,5/2/2016,7245
5553957443,5/2/2016,9769
5577150313,5/2/2016,7439
6117666160,5/2/2016,4933
6290855005,5/2/2016,6781
6775888955,5/2/2016,0
6962181067,5/2/2016,12912
7007744171,5/2/2016,13041
7086361926,5/2/2016,10052
8053475328,5/2/2016,1969
8378563200,5/2/2016,6064
8583815059,5/2/2016,8469
8792009665,5/2/2016,1831
8877689391,5/2/2016,4790
1503960366,5/3/2016,15103
1624580081,5/3/2016,2100
1644430081,5/3/2016,12850
1844505072,5/3/2016,4059
1927972279,5/3/2016,1326
2022484408,5/3/2016,12183
2026352035,5/3/2016,5992
2320127002,5/3/2016,7443
2873212765,5/3/2016,7412
